des(0,80596,49488)    
(31778,"<<{OBU}0 !DMIcmd{p1=80}>> ",24769)
(31765,"<<{OBU}0 ?ESpeed{p1=185}{OBU}0>> ",31779)
(31779,"<<{OBU}0 !EBcmd{p1=1}>> ",31780)
(31780,"<<{OBU}0 !DMIcmd{p1=80}>> ",24772)
(31765,"<<{OBU}0 ?ESpeed{p1=184}{OBU}0>> ",31781)
(31781,"<<{OBU}0 !EBcmd{p1=1}>> ",31782)
(31782,"<<{OBU}0 !DMIcmd{p1=80}>> ",24775)
(31765,"<<{OBU}0 ?ESpeed{p1=183}{OBU}0>> ",31783)
(31783,"<<{OBU}0 !EBcmd{p1=1}>> ",31784)
(31784,"<<{OBU}0 !DMIcmd{p1=80}>> ",24778)
(31765,"<<{OBU}0 ?ESpeed{p1=182}{OBU}0>> ",31785)
(31785,"<<{OBU}0 !EBcmd{p1=1}>> ",31786)
(31786,"<<{OBU}0 !DMIcmd{p1=80}>> ",24781)
(31765,"<<{OBU}0 ?ESpeed{p1=181}{OBU}0>> ",31787)
(31787,"<<{OBU}0 !EBcmd{p1=1}>> ",31788)
(31788,"<<{OBU}0 !DMIcmd{p1=80}>> ",24784)
(31765,"<<{OBU}0 ?ESpeed{p1=180}{OBU}0>> ",31789)
(31789,"<<{OBU}0 !EBcmd{p1=1}>> ",31790)
(31790,"<<{OBU}0 !DMIcmd{p1=80}>> ",24787)
(31765,"<<{OBU}0 ?ESpeed{p1=179}{OBU}0>> ",31791)
(31791,"<<{OBU}0 !EBcmd{p1=1}>> ",31792)
(31792,"<<{OBU}0 !DMIcmd{p1=80}>> ",24790)
(31765,"<<{OBU}0 ?ESpeed{p1=178}{OBU}0>> ",31793)
(31793,"<<{OBU}0 !EBcmd{p1=1}>> ",31794)
(31794,"<<{OBU}0 !DMIcmd{p1=80}>> ",24793)
(31765,"<<{OBU}0 ?ESpeed{p1=177}{OBU}0>> ",31795)
(31795,"<<{OBU}0 !EBcmd{p1=1}>> ",31796)
(31796,"<<{OBU}0 !DMIcmd{p1=80}>> ",24796)
(31765,"<<{OBU}0 ?ESpeed{p1=176}{OBU}0>> ",31797)
(31797,"<<{OBU}0 !EBcmd{p1=1}>> ",31798)
(31798,"<<{OBU}0 !DMIcmd{p1=80}>> ",24799)
(31765,"<<{OBU}0 ?ESpeed{p1=175}{OBU}0>> ",31799)
(31799,"<<{OBU}0 !EBcmd{p1=1}>> ",31800)
(31800,"<<{OBU}0 !DMIcmd{p1=80}>> ",24802)
(31765,"<<{OBU}0 ?ESpeed{p1=174}{OBU}0>> ",31801)
(31801,"<<{OBU}0 !EBcmd{p1=1}>> ",31802)
(31802,"<<{OBU}0 !DMIcmd{p1=80}>> ",24805)
(31765,"<<{OBU}0 ?ESpeed{p1=173}{OBU}0>> ",31803)
(31803,"<<{OBU}0 !EBcmd{p1=1}>> ",31804)
(31804,"<<{OBU}0 !DMIcmd{p1=80}>> ",24808)
(31765,"<<{OBU}0 ?ESpeed{p1=172}{OBU}0>> ",31805)
(31805,"<<{OBU}0 !EBcmd{p1=1}>> ",31806)
(31806,"<<{OBU}0 !DMIcmd{p1=80}>> ",24811)
(31765,"<<{OBU}0 ?ESpeed{p1=171}{OBU}0>> ",31807)
(31807,"<<{OBU}0 !EBcmd{p1=1}>> ",31808)
(31808,"<<{OBU}0 !DMIcmd{p1=80}>> ",24814)
(31765,"<<{OBU}0 ?ESpeed{p1=170}{OBU}0>> ",31809)
(31809,"<<{OBU}0 !EBcmd{p1=1}>> ",31810)
(31810,"<<{OBU}0 !DMIcmd{p1=80}>> ",24817)
(31765,"<<{OBU}0 ?ESpeed{p1=169}{OBU}0>> ",31811)
(31811,"<<{OBU}0 !EBcmd{p1=1}>> ",31812)
(31812,"<<{OBU}0 !DMIcmd{p1=80}>> ",24820)
(31765,"<<{OBU}0 ?ESpeed{p1=168}{OBU}0>> ",31813)
(31813,"<<{OBU}0 !EBcmd{p1=1}>> ",31814)
(31814,"<<{OBU}0 !DMIcmd{p1=80}>> ",24823)
(31765,"<<{OBU}0 ?ESpeed{p1=167}{OBU}0>> ",31815)
(31815,"<<{OBU}0 !EBcmd{p1=1}>> ",31816)
(31816,"<<{OBU}0 !DMIcmd{p1=80}>> ",24826)
(31765,"<<{OBU}0 ?ESpeed{p1=166}{OBU}0>> ",31817)
(31817,"<<{OBU}0 !EBcmd{p1=1}>> ",31818)
(31818,"<<{OBU}0 !DMIcmd{p1=80}>> ",24829)
(31765,"<<{OBU}0 ?ESpeed{p1=165}{OBU}0>> ",31819)
(31819,"<<{OBU}0 !EBcmd{p1=1}>> ",31820)
(31820,"<<{OBU}0 !DMIcmd{p1=80}>> ",24832)
(31765,"<<{OBU}0 ?ESpeed{p1=164}{OBU}0>> ",31821)
(31821,"<<{OBU}0 !EBcmd{p1=1}>> ",31822)
(31822,"<<{OBU}0 !DMIcmd{p1=80}>> ",24835)
(31765,"<<{OBU}0 ?ESpeed{p1=163}{OBU}0>> ",31823)
(31823,"<<{OBU}0 !EBcmd{p1=1}>> ",31824)
(31824,"<<{OBU}0 !DMIcmd{p1=80}>> ",24838)
(31765,"<<{OBU}0 ?ESpeed{p1=162}{OBU}0>> ",31825)
(31825,"<<{OBU}0 !EBcmd{p1=1}>> ",31826)
(31826,"<<{OBU}0 !DMIcmd{p1=80}>> ",24841)
(31765,"<<{OBU}0 ?ESpeed{p1=161}{OBU}0>> ",31827)
(31827,"<<{OBU}0 !EBcmd{p1=1}>> ",31828)
(31828,"<<{OBU}0 !DMIcmd{p1=80}>> ",24844)
(31765,"<<{OBU}0 ?ESpeed{p1=160}{OBU}0>> ",31829)
(31829,"<<{OBU}0 !EBcmd{p1=1}>> ",31830)
(31830,"<<{OBU}0 !DMIcmd{p1=80}>> ",24847)
(31765,"<<{OBU}0 ?ESpeed{p1=159}{OBU}0>> ",31831)
(31831,"<<{OBU}0 !EBcmd{p1=1}>> ",31832)
(31832,"<<{OBU}0 !DMIcmd{p1=80}>> ",24850)
(31765,"<<{OBU}0 ?ESpeed{p1=158}{OBU}0>> ",31833)
(31833,"<<{OBU}0 !EBcmd{p1=1}>> ",31834)
(31834,"<<{OBU}0 !DMIcmd{p1=80}>> ",24853)
(31765,"<<{OBU}0 ?ESpeed{p1=157}{OBU}0>> ",31835)
(31835,"<<{OBU}0 !EBcmd{p1=1}>> ",31836)
(31836,"<<{OBU}0 !DMIcmd{p1=80}>> ",24856)
(31765,"<<{OBU}0 ?ESpeed{p1=156}{OBU}0>> ",31837)
(31837,"<<{OBU}0 !EBcmd{p1=1}>> ",31838)
(31838,"<<{OBU}0 !DMIcmd{p1=80}>> ",24859)
(31765,"<<{OBU}0 ?ESpeed{p1=155}{OBU}0>> ",31839)
(31839,"<<{OBU}0 !EBcmd{p1=1}>> ",31840)
(31840,"<<{OBU}0 !DMIcmd{p1=80}>> ",24862)
(31765,"<<{OBU}0 ?ESpeed{p1=154}{OBU}0>> ",31841)
(31841,"<<{OBU}0 !EBcmd{p1=1}>> ",31842)
(31842,"<<{OBU}0 !DMIcmd{p1=80}>> ",24865)
(31765,"<<{OBU}0 ?ESpeed{p1=153}{OBU}0>> ",31843)
(31843,"<<{OBU}0 !EBcmd{p1=1}>> ",31844)
(31844,"<<{OBU}0 !DMIcmd{p1=80}>> ",24868)
(31765,"<<{OBU}0 ?ESpeed{p1=152}{OBU}0>> ",31845)
(31845,"<<{OBU}0 !EBcmd{p1=1}>> ",31846)
(31846,"<<{OBU}0 !DMIcmd{p1=80}>> ",24871)
(31765,"<<{OBU}0 ?ESpeed{p1=151}{OBU}0>> ",31847)
(31847,"<<{OBU}0 !EBcmd{p1=1}>> ",31848)
(31848,"<<{OBU}0 !DMIcmd{p1=80}>> ",24874)
(31765,"<<{OBU}0 ?ESpeed{p1=150}{OBU}0>> ",31849)
(31849,"<<{OBU}0 !EBcmd{p1=1}>> ",31850)
(31850,"<<{OBU}0 !DMIcmd{p1=80}>> ",24877)
(31765,"<<{OBU}0 ?ESpeed{p1=149}{OBU}0>> ",31851)
(31851,"<<{OBU}0 !EBcmd{p1=1}>> ",31852)
(31852,"<<{OBU}0 !DMIcmd{p1=80}>> ",24880)
(31765,"<<{OBU}0 ?ESpeed{p1=148}{OBU}0>> ",31853)
(31853,"<<{OBU}0 !EBcmd{p1=1}>> ",31854)
(31854,"<<{OBU}0 !DMIcmd{p1=80}>> ",24883)
(31765,"<<{OBU}0 ?ESpeed{p1=147}{OBU}0>> ",31855)
(31855,"<<{OBU}0 !EBcmd{p1=1}>> ",31856)
(31856,"<<{OBU}0 !DMIcmd{p1=80}>> ",24886)
(31765,"<<{OBU}0 ?ESpeed{p1=146}{OBU}0>> ",31857)
(31857,"<<{OBU}0 !EBcmd{p1=1}>> ",31858)
(31858,"<<{OBU}0 !DMIcmd{p1=80}>> ",24889)
(31765,"<<{OBU}0 ?ESpeed{p1=145}{OBU}0>> ",31859)
(31859,"<<{OBU}0 !EBcmd{p1=1}>> ",31860)
(31860,"<<{OBU}0 !DMIcmd{p1=80}>> ",24892)
(31765,"<<{OBU}0 ?ESpeed{p1=144}{OBU}0>> ",31861)
(31861,"<<{OBU}0 !EBcmd{p1=1}>> ",31862)
(31862,"<<{OBU}0 !DMIcmd{p1=80}>> ",24895)
(31765,"<<{OBU}0 ?ESpeed{p1=143}{OBU}0>> ",31863)
(31863,"<<{OBU}0 !EBcmd{p1=1}>> ",31864)
(31864,"<<{OBU}0 !DMIcmd{p1=80}>> ",24898)
(31765,"<<{OBU}0 ?ESpeed{p1=142}{OBU}0>> ",31865)
(31865,"<<{OBU}0 !EBcmd{p1=1}>> ",31866)
(31866,"<<{OBU}0 !DMIcmd{p1=80}>> ",24901)
(31765,"<<{OBU}0 ?ESpeed{p1=141}{OBU}0>> ",31867)
(31867,"<<{OBU}0 !EBcmd{p1=1}>> ",31868)
(31868,"<<{OBU}0 !DMIcmd{p1=80}>> ",24904)
(31765,"<<{OBU}0 ?ESpeed{p1=140}{OBU}0>> ",31869)
(31869,"<<{OBU}0 !EBcmd{p1=1}>> ",31870)
(31870,"<<{OBU}0 !DMIcmd{p1=80}>> ",24907)
(31765,"<<{OBU}0 ?ESpeed{p1=139}{OBU}0>> ",31871)
(31871,"<<{OBU}0 !EBcmd{p1=1}>> ",31872)
(31872,"<<{OBU}0 !DMIcmd{p1=80}>> ",24910)
(31765,"<<{OBU}0 ?ESpeed{p1=138}{OBU}0>> ",31873)
(31873,"<<{OBU}0 !EBcmd{p1=1}>> ",31874)
(31874,"<<{OBU}0 !DMIcmd{p1=80}>> ",24913)
(31765,"<<{OBU}0 ?ESpeed{p1=137}{OBU}0>> ",31875)
(31875,"<<{OBU}0 !EBcmd{p1=1}>> ",31876)
(31876,"<<{OBU}0 !DMIcmd{p1=80}>> ",24916)
(31765,"<<{OBU}0 ?ESpeed{p1=136}{OBU}0>> ",31877)
(31877,"<<{OBU}0 !EBcmd{p1=1}>> ",31878)
(31878,"<<{OBU}0 !DMIcmd{p1=80}>> ",24919)
(31765,"<<{OBU}0 ?ESpeed{p1=135}{OBU}0>> ",31879)
(31879,"<<{OBU}0 !EBcmd{p1=1}>> ",31880)
(31880,"<<{OBU}0 !DMIcmd{p1=80}>> ",24922)
(31765,"<<{OBU}0 ?ESpeed{p1=134}{OBU}0>> ",31881)
(31881,"<<{OBU}0 !EBcmd{p1=1}>> ",31882)
(31882,"<<{OBU}0 !DMIcmd{p1=80}>> ",24925)
(31765,"<<{OBU}0 ?ESpeed{p1=133}{OBU}0>> ",31883)
(31883,"<<{OBU}0 !EBcmd{p1=1}>> ",31884)
(31884,"<<{OBU}0 !DMIcmd{p1=80}>> ",24928)
(31765,"<<{OBU}0 ?ESpeed{p1=132}{OBU}0>> ",31885)
(31885,"<<{OBU}0 !EBcmd{p1=1}>> ",31886)
(31886,"<<{OBU}0 !DMIcmd{p1=80}>> ",24931)
(31765,"<<{OBU}0 ?ESpeed{p1=131}{OBU}0>> ",31887)
(31887,"<<{OBU}0 !EBcmd{p1=1}>> ",31888)
(31888,"<<{OBU}0 !DMIcmd{p1=80}>> ",24934)
(31765,"<<{OBU}0 ?ESpeed{p1=130}{OBU}0>> ",31889)
(31889,"<<{OBU}0 !EBcmd{p1=1}>> ",31890)
(31890,"<<{OBU}0 !DMIcmd{p1=80}>> ",24937)
(31765,"<<{OBU}0 ?ESpeed{p1=129}{OBU}0>> ",31891)
(31891,"<<{OBU}0 !EBcmd{p1=1}>> ",31892)
(31892,"<<{OBU}0 !DMIcmd{p1=80}>> ",24940)
(31765,"<<{OBU}0 ?ESpeed{p1=128}{OBU}0>> ",31893)
(31893,"<<{OBU}0 !EBcmd{p1=1}>> ",31894)
(31894,"<<{OBU}0 !DMIcmd{p1=80}>> ",24943)
(31765,"<<{OBU}0 ?ESpeed{p1=127}{OBU}0>> ",31895)
(31895,"<<{OBU}0 !EBcmd{p1=1}>> ",31896)
(31896,"<<{OBU}0 !DMIcmd{p1=80}>> ",24946)
(31765,"<<{OBU}0 ?ESpeed{p1=126}{OBU}0>> ",31897)
(31897,"<<{OBU}0 !EBcmd{p1=1}>> ",31898)
(31898,"<<{OBU}0 !DMIcmd{p1=80}>> ",24949)
(31765,"<<{OBU}0 ?ESpeed{p1=125}{OBU}0>> ",31899)
(31899,"<<{OBU}0 !EBcmd{p1=1}>> ",31900)
(31900,"<<{OBU}0 !DMIcmd{p1=80}>> ",24952)
(31765,"<<{OBU}0 ?ESpeed{p1=124}{OBU}0>> ",31901)
(31901,"<<{OBU}0 !EBcmd{p1=1}>> ",31902)
(31902,"<<{OBU}0 !DMIcmd{p1=80}>> ",24955)
(31765,"<<{OBU}0 ?ESpeed{p1=123}{OBU}0>> ",31903)
(31903,"<<{OBU}0 !EBcmd{p1=1}>> ",31904)
(31904,"<<{OBU}0 !DMIcmd{p1=80}>> ",24958)
(31765,"<<{OBU}0 ?ESpeed{p1=122}{OBU}0>> ",31905)
(31905,"<<{OBU}0 !EBcmd{p1=1}>> ",31906)
(31906,"<<{OBU}0 !DMIcmd{p1=80}>> ",24961)
(31765,"<<{OBU}0 ?ESpeed{p1=121}{OBU}0>> ",31907)
(31907,"<<{OBU}0 !EBcmd{p1=1}>> ",31908)
(31908,"<<{OBU}0 !DMIcmd{p1=80}>> ",24964)
(31765,"<<{OBU}0 ?ESpeed{p1=120}{OBU}0>> ",31909)
(31909,"<<{OBU}0 !EBcmd{p1=1}>> ",31910)
(31910,"<<{OBU}0 !DMIcmd{p1=80}>> ",24967)
(31765,"<<{OBU}0 ?ESpeed{p1=119}{OBU}0>> ",31911)
(31911,"<<{OBU}0 !EBcmd{p1=1}>> ",31912)
(31912,"<<{OBU}0 !DMIcmd{p1=80}>> ",24970)
(31765,"<<{OBU}0 ?ESpeed{p1=118}{OBU}0>> ",31913)
(31913,"<<{OBU}0 !EBcmd{p1=1}>> ",31914)
(31914,"<<{OBU}0 !DMIcmd{p1=80}>> ",24973)
(31765,"<<{OBU}0 ?ESpeed{p1=117}{OBU}0>> ",31915)
(31915,"<<{OBU}0 !EBcmd{p1=1}>> ",31916)
(31916,"<<{OBU}0 !DMIcmd{p1=80}>> ",24976)
(31765,"<<{OBU}0 ?ESpeed{p1=116}{OBU}0>> ",31917)
(31917,"<<{OBU}0 !EBcmd{p1=1}>> ",31918)
(31918,"<<{OBU}0 !DMIcmd{p1=80}>> ",24979)
(31765,"<<{OBU}0 ?ESpeed{p1=115}{OBU}0>> ",31919)
(31919,"<<{OBU}0 !EBcmd{p1=1}>> ",31920)
(31920,"<<{OBU}0 !DMIcmd{p1=80}>> ",24982)
(31765,"<<{OBU}0 ?ESpeed{p1=114}{OBU}0>> ",31921)
(31921,"<<{OBU}0 !EBcmd{p1=1}>> ",31922)
(31922,"<<{OBU}0 !DMIcmd{p1=80}>> ",24985)
(31765,"<<{OBU}0 ?ESpeed{p1=113}{OBU}0>> ",31923)
(31923,"<<{OBU}0 !EBcmd{p1=1}>> ",31924)
(31924,"<<{OBU}0 !DMIcmd{p1=80}>> ",24988)
(31765,"<<{OBU}0 ?ESpeed{p1=112}{OBU}0>> ",31925)
(31925,"<<{OBU}0 !EBcmd{p1=1}>> ",31926)
(31926,"<<{OBU}0 !DMIcmd{p1=80}>> ",24991)
(31765,"<<{OBU}0 ?ESpeed{p1=111}{OBU}0>> ",31927)
(31927,"<<{OBU}0 !EBcmd{p1=1}>> ",31928)
(31928,"<<{OBU}0 !DMIcmd{p1=80}>> ",24994)
(31765,"<<{OBU}0 ?ESpeed{p1=110}{OBU}0>> ",31929)
(31929,"<<{OBU}0 !EBcmd{p1=1}>> ",31930)
(31930,"<<{OBU}0 !DMIcmd{p1=80}>> ",24997)
(31765,"<<{OBU}0 ?ESpeed{p1=109}{OBU}0>> ",31931)
(31931,"<<{OBU}0 !EBcmd{p1=1}>> ",31932)
(31932,"<<{OBU}0 !DMIcmd{p1=80}>> ",25000)
(31765,"<<{OBU}0 ?ESpeed{p1=108}{OBU}0>> ",31933)
(31933,"<<{OBU}0 !EBcmd{p1=1}>> ",31934)
(31934,"<<{OBU}0 !DMIcmd{p1=80}>> ",25003)
(31765,"<<{OBU}0 ?ESpeed{p1=107}{OBU}0>> ",31935)
(31935,"<<{OBU}0 !EBcmd{p1=1}>> ",31936)
(31936,"<<{OBU}0 !DMIcmd{p1=80}>> ",25006)
(31765,"<<{OBU}0 ?ESpeed{p1=106}{OBU}0>> ",31937)
(31937,"<<{OBU}0 !EBcmd{p1=1}>> ",31938)
(31938,"<<{OBU}0 !DMIcmd{p1=80}>> ",25009)
(31765,"<<{OBU}0 ?ESpeed{p1=105}{OBU}0>> ",31939)
(31939,"<<{OBU}0 !EBcmd{p1=1}>> ",31940)
(31940,"<<{OBU}0 !DMIcmd{p1=80}>> ",25012)
(31765,"<<{OBU}0 ?ESpeed{p1=104}{OBU}0>> ",31941)
(31941,"<<{OBU}0 !EBcmd{p1=1}>> ",31942)
(31942,"<<{OBU}0 !DMIcmd{p1=80}>> ",25015)
(31765,"<<{OBU}0 ?ESpeed{p1=103}{OBU}0>> ",31943)
(31943,"<<{OBU}0 !EBcmd{p1=1}>> ",31944)
(31944,"<<{OBU}0 !DMIcmd{p1=80}>> ",25018)
(31765,"<<{OBU}0 ?ESpeed{p1=102}{OBU}0>> ",31945)
(31945,"<<{OBU}0 !EBcmd{p1=1}>> ",31946)
(31946,"<<{OBU}0 !DMIcmd{p1=80}>> ",25021)
(31765,"<<{OBU}0 ?ESpeed{p1=101}{OBU}0>> ",31947)
(31947,"<<{OBU}0 !EBcmd{p1=1}>> ",31948)
(31948,"<<{OBU}0 !DMIcmd{p1=80}>> ",25024)
(31765,"<<{OBU}0 ?ESpeed{p1=100}{OBU}0>> ",31949)
(31949,"<<{OBU}0 !EBcmd{p1=1}>> ",31950)
(31950,"<<{OBU}0 !DMIcmd{p1=80}>> ",25027)
(31765,"<<{OBU}0 ?ESpeed{p1=99}{OBU}0>> ",31951)
(31951,"<<{OBU}0 !EBcmd{p1=1}>> ",31952)
(31952,"<<{OBU}0 !DMIcmd{p1=80}>> ",25030)
(31765,"<<{OBU}0 ?ESpeed{p1=98}{OBU}0>> ",31953)
(31953,"<<{OBU}0 !EBcmd{p1=1}>> ",31954)
(31954,"<<{OBU}0 !DMIcmd{p1=80}>> ",25033)
(31765,"<<{OBU}0 ?ESpeed{p1=97}{OBU}0>> ",31955)
(31955,"<<{OBU}0 !EBcmd{p1=1}>> ",31956)
(31956,"<<{OBU}0 !DMIcmd{p1=80}>> ",25036)
(31765,"<<{OBU}0 ?ESpeed{p1=96}{OBU}0>> ",31957)
(31957,"<<{OBU}0 !EBcmd{p1=1}>> ",31958)
(31958,"<<{OBU}0 !DMIcmd{p1=80}>> ",25039)
(31765,"<<{OBU}0 ?ESpeed{p1=95}{OBU}0>> ",31959)
(31959,"<<{OBU}0 !EBcmd{p1=1}>> ",31960)
(31960,"<<{OBU}0 !DMIcmd{p1=80}>> ",25042)
(31765,"<<{OBU}0 ?ESpeed{p1=94}{OBU}0>> ",31961)
(31961,"<<{OBU}0 !EBcmd{p1=1}>> ",31962)
(31962,"<<{OBU}0 !DMIcmd{p1=80}>> ",25045)
(31765,"<<{OBU}0 ?ESpeed{p1=93}{OBU}0>> ",31963)
(31963,"<<{OBU}0 !EBcmd{p1=1}>> ",31964)
(31964,"<<{OBU}0 !DMIcmd{p1=80}>> ",25048)
(31765,"<<{OBU}0 ?ESpeed{p1=92}{OBU}0>> ",31965)
(31965,"<<{OBU}0 !EBcmd{p1=1}>> ",31966)
(31966,"<<{OBU}0 !DMIcmd{p1=80}>> ",25051)
(31765,"<<{OBU}0 ?ESpeed{p1=91}{OBU}0>> ",31967)
(31967,"<<{OBU}0 !EBcmd{p1=1}>> ",31968)
(31968,"<<{OBU}0 !DMIcmd{p1=80}>> ",25054)
(31765,"<<{OBU}0 ?ESpeed{p1=90}{OBU}0>> ",31969)
(31969,"<<{OBU}0 !EBcmd{p1=1}>> ",31970)
(31970,"<<{OBU}0 !DMIcmd{p1=80}>> ",25057)
(31765,"<<{OBU}0 ?ESpeed{p1=89}{OBU}0>> ",31971)
(31971,"<<{OBU}0 !EBcmd{p1=1}>> ",31972)
(31972,"<<{OBU}0 !DMIcmd{p1=80}>> ",25060)
(31765,"<<{OBU}0 ?ESpeed{p1=88}{OBU}0>> ",31973)
(31973,"<<{OBU}0 !EBcmd{p1=1}>> ",31974)
(31974,"<<{OBU}0 !DMIcmd{p1=80}>> ",25063)
(31765,"<<{OBU}0 ?ESpeed{p1=87}{OBU}0>> ",31975)
(31975,"<<{OBU}0 !EBcmd{p1=1}>> ",31976)
(31976,"<<{OBU}0 !DMIcmd{p1=80}>> ",25066)
(31765,"<<{OBU}0 ?ESpeed{p1=86}{OBU}0>> ",31977)
(31977,"<<{OBU}0 !EBcmd{p1=1}>> ",31978)
(31978,"<<{OBU}0 !DMIcmd{p1=80}>> ",25069)
(31765,"<<{OBU}0 ?ESpeed{p1=85}{OBU}0>> ",31979)
(31979,"<<{OBU}0 !EBcmd{p1=1}>> ",31980)
(31980,"<<{OBU}0 !DMIcmd{p1=80}>> ",25072)
(31765,"<<{OBU}0 ?ESpeed{p1=84}{OBU}0>> ",31981)
(31981,"<<{OBU}0 !EBcmd{p1=1}>> ",31982)
(31982,"<<{OBU}0 !DMIcmd{p1=80}>> ",25075)
(31765,"<<{OBU}0 ?ESpeed{p1=83}{OBU}0>> ",31983)
(31983,"<<{OBU}0 !EBcmd{p1=1}>> ",31984)
(31984,"<<{OBU}0 !DMIcmd{p1=80}>> ",25078)
(31765,"<<{OBU}0 ?ESpeed{p1=82}{OBU}0>> ",31985)
(31985,"<<{OBU}0 !EBcmd{p1=1}>> ",31986)
(31986,"<<{OBU}0 !DMIcmd{p1=80}>> ",25081)
(31765,"<<{OBU}0 ?ESpeed{p1=81}{OBU}0>> ",31987)
(31987,"<<{OBU}0 !EBcmd{p1=1}>> ",31988)
(31988,"<<{OBU}0 !DMIcmd{p1=80}>> ",25084)
(31765,"<<{OBU}0 ?ESpeed{p1=80}{OBU}0>> ",31989)
(31989,"<<{OBU}0 !DMIcmd{p1=80}>> ",25087)
(31765,"<<{OBU}0 ?ESpeed{p1=79}{OBU}0>> ",31990)
(31990,"<<{OBU}0 !DMIcmd{p1=80}>> ",25312)
(31765,"<<{OBU}0 ?ESpeed{p1=78}{OBU}0>> ",31991)
(31991,"<<{OBU}0 !DMIcmd{p1=80}>> ",25538)
(31765,"<<{OBU}0 ?ESpeed{p1=77}{OBU}0>> ",31992)
(31992,"<<{OBU}0 !DMIcmd{p1=80}>> ",25765)
(31765,"<<{OBU}0 ?ESpeed{p1=76}{OBU}0>> ",31993)
(31993,"<<{OBU}0 !DMIcmd{p1=80}>> ",25993)
(31765,"<<{OBU}0 ?ESpeed{p1=75}{OBU}0>> ",31994)
(31994,"<<{OBU}0 !DMIcmd{p1=80}>> ",26222)
(31765,"<<{OBU}0 ?ESpeed{p1=74}{OBU}0>> ",31995)
(31995,"<<{OBU}0 !DMIcmd{p1=80}>> ",26452)
(31765,"<<{OBU}0 ?ESpeed{p1=73}{OBU}0>> ",31996)
(31996,"<<{OBU}0 !DMIcmd{p1=80}>> ",26683)
(31765,"<<{OBU}0 ?ESpeed{p1=72}{OBU}0>> ",31997)
(31997,"<<{OBU}0 !DMIcmd{p1=80}>> ",26915)
(31765,"<<{OBU}0 ?ESpeed{p1=71}{OBU}0>> ",31998)
(31998,"<<{OBU}0 !DMIcmd{p1=80}>> ",27148)
(31765,"<<{OBU}0 ?ESpeed{p1=70}{OBU}0>> ",31999)
(31999,"<<{OBU}0 !DMIcmd{p1=80}>> ",27382)
(31765,"<<{OBU}0 ?ESpeed{p1=69}{OBU}0>> ",32000)
(32000,"<<{OBU}0 !DMIcmd{p1=80}>> ",27617)
(31765,"<<{OBU}0 ?ESpeed{p1=68}{OBU}0>> ",32001)
(32001,"<<{OBU}0 !DMIcmd{p1=80}>> ",27853)
(31765,"<<{OBU}0 ?ESpeed{p1=67}{OBU}0>> ",32002)
(32002,"<<{OBU}0 !DMIcmd{p1=80}>> ",28090)
(31765,"<<{OBU}0 ?ESpeed{p1=66}{OBU}0>> ",32003)
(32003,"<<{OBU}0 !DMIcmd{p1=80}>> ",28328)
(31765,"<<{OBU}0 ?ESpeed{p1=65}{OBU}0>> ",32004)
(32004,"<<{OBU}0 !DMIcmd{p1=80}>> ",28567)
(31765,"<<{OBU}0 ?ESpeed{p1=64}{OBU}0>> ",32005)
(32005,"<<{OBU}0 !DMIcmd{p1=80}>> ",28807)
(31765,"<<{OBU}0 ?ESpeed{p1=63}{OBU}0>> ",32006)
(32006,"<<{OBU}0 !DMIcmd{p1=80}>> ",29048)
(31765,"<<{OBU}0 ?ESpeed{p1=62}{OBU}0>> ",32007)
(32007,"<<{OBU}0 !DMIcmd{p1=80}>> ",29290)
(31765,"<<{OBU}0 ?ESpeed{p1=61}{OBU}0>> ",32008)
(32008,"<<{OBU}0 !DMIcmd{p1=80}>> ",29533)
(31765,"<<{OBU}0 ?ESpeed{p1=60}{OBU}0>> ",32009)
(32009,"<<{OBU}0 !DMIcmd{p1=80}>> ",29777)
(31765,"<<{OBU}0 ?ESpeed{p1=59}{OBU}0>> ",32010)
(32010,"<<{OBU}0 !DMIcmd{p1=80}>> ",30022)
(31765,"<<{OBU}0 ?ESpeed{p1=58}{OBU}0>> ",32011)
(32011,"<<{OBU}0 !DMIcmd{p1=80}>> ",30268)
(31765,"<<{OBU}0 ?ESpeed{p1=57}{OBU}0>> ",32012)
(32012,"<<{OBU}0 !DMIcmd{p1=80}>> ",30515)
(31765,"<<{OBU}0 ?ESpeed{p1=56}{OBU}0>> ",32013)
(32013,"<<{OBU}0 !DMIcmd{p1=80}>> ",30763)
(31765,"<<{OBU}0 ?ESpeed{p1=55}{OBU}0>> ",32014)
(32014,"<<{OBU}0 !DMIcmd{p1=80}>> ",31012)
(31765,"<<{OBU}0 ?ESpeed{p1=54}{OBU}0>> ",32015)
(32015,"<<{OBU}0 !DMIcmd{p1=80}>> ",31262)
(31765,"<<{OBU}0 ?ESpeed{p1=53}{OBU}0>> ",32016)
(32016,"<<{OBU}0 !DMIcmd{p1=80}>> ",31513)
(31765,"<<{OBU}0 ?ESpeed{p1=52}{OBU}0>> ",32017)
(32017,"<<{OBU}0 !DMIcmd{p1=80}>> ",31765)
(31765,"<<{OBU}0 ?ESpeed{p1=51}{OBU}0>> ",32019)
(32019,"<<{OBU}0 !DMIcmd{p1=80}>> ",32018)
(32018,"<<{OBU}0 ?ESpeed{p1=191}{OBU}0>> ",32020)
(32020,"<<{OBU}0 !EBcmd{p1=1}>> ",32021)
(32021,"<<{OBU}0 !DMIcmd{p1=80}>> ",24754)
