des(0,80596,49488)    
(100,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",100)
(10,"<<{OBU}0 ?ESpeed{p1=161}{OBU}0>> ",104)
(104,"<<{OBU}0 !EBcmd{p1=1}>> ",105)
(105,"<<{OBU}0 !DMIcmd{p1=80}>> ",103)
(103,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",103)
(10,"<<{OBU}0 ?ESpeed{p1=160}{OBU}0>> ",107)
(107,"<<{OBU}0 !EBcmd{p1=1}>> ",108)
(108,"<<{OBU}0 !DMIcmd{p1=80}>> ",106)
(106,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",106)
(10,"<<{OBU}0 ?ESpeed{p1=159}{OBU}0>> ",110)
(110,"<<{OBU}0 !EBcmd{p1=1}>> ",111)
(111,"<<{OBU}0 !DMIcmd{p1=80}>> ",109)
(109,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",109)
(10,"<<{OBU}0 ?ESpeed{p1=158}{OBU}0>> ",113)
(113,"<<{OBU}0 !EBcmd{p1=1}>> ",114)
(114,"<<{OBU}0 !DMIcmd{p1=80}>> ",112)
(112,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",112)
(10,"<<{OBU}0 ?ESpeed{p1=157}{OBU}0>> ",116)
(116,"<<{OBU}0 !EBcmd{p1=1}>> ",117)
(117,"<<{OBU}0 !DMIcmd{p1=80}>> ",115)
(115,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",115)
(10,"<<{OBU}0 ?ESpeed{p1=156}{OBU}0>> ",119)
(119,"<<{OBU}0 !EBcmd{p1=1}>> ",120)
(120,"<<{OBU}0 !DMIcmd{p1=80}>> ",118)
(118,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",118)
(10,"<<{OBU}0 ?ESpeed{p1=155}{OBU}0>> ",122)
(122,"<<{OBU}0 !EBcmd{p1=1}>> ",123)
(123,"<<{OBU}0 !DMIcmd{p1=80}>> ",121)
(121,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",121)
(10,"<<{OBU}0 ?ESpeed{p1=154}{OBU}0>> ",125)
(125,"<<{OBU}0 !EBcmd{p1=1}>> ",126)
(126,"<<{OBU}0 !DMIcmd{p1=80}>> ",124)
(124,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",124)
(10,"<<{OBU}0 ?ESpeed{p1=153}{OBU}0>> ",128)
(128,"<<{OBU}0 !EBcmd{p1=1}>> ",129)
(129,"<<{OBU}0 !DMIcmd{p1=80}>> ",127)
(127,"<<{RBC}0 ?DLocation{p1=100}{RBC}0>> ",127)
(10,"<<{OBU}0 ?ESpeed{p1=152}{OBU}0>> ",131)
(131,"<<{OBU}0 !EBcmd{p1=1}>> ",132)
